Time (s),Channel 1 (V),Channel 2 (V)
-0.0051189858815427,-0.1995447943610005,-0.02178575495699791
-0.0051177358815427,-0.1992013724970819,-0.02144488585685855
-0.0051164858815427,-0.1995447943610005,-0.02144488585685855
-0.0051152358815427,-0.1995447943610005,-0.02144488585685855
-0.0051139858815427,-0.1992013724970819,-0.02144488585685855
-0.0051127358815427,-0.1985145287692445,-0.02144488585685855
-0.0051114858815427,-0.1992013724970819,-0.02178575495699791
-0.0051102358815427,-0.1998882162249189,-0.02144488585685871
-0.0051089858815427,-0.1988579506331631,-0.02144488585685855
-0.005107735881542699,-0.1995447943610005,-0.02144488585685886
-0.0051064858815427,-0.1995447943610005,-0.02212662405713726
-0.0051052358815427,-0.1995447943610004,-0.0221266240571371
-0.0051039858815427,-0.1992013724970819,-0.02178575495699791
-0.0051027358815427,-0.1988579506331631,-0.02212662405713726
-0.0051014858815427,-0.1992013724970819,-0.02178575495699791
-0.0051002358815427,-0.1992013724970819,-0.02212662405713726
-0.0050989858815427,-0.1988579506331633,-0.02212662405713726
-0.0050977358815427,-0.1995447943610005,-0.02178575495699791
-0.0050964858815427,-0.1995447943610007,-0.0221266240571371
-0.0050952358815427,-0.1998882162249192,-0.02178575495699791
-0.0050939858815427,-0.1992013724970822,-0.0221266240571371
-0.0050927358815427,-0.1998882162249192,-0.02178575495699791
-0.0050914858815427,-0.1988579506331631,-0.02280836225741597
-0.0050902358815427,-0.1992013724970817,-0.02246749315727677
-0.0050889858815427,-0.1995447943610005,-0.02212662405713726
-0.0050877358815427,-0.1995447943610005,-0.02246749315727645
-0.0050864858815427,-0.1995447943610005,-0.02280836225741597
-0.0050852358815427,-0.1998882162249189,-0.02280836225741581
-0.0050839858815427,-0.1992013724970819,-0.02246749315727661
-0.0050827358815427,-0.1988579506331631,-0.02246749315727661
-0.0050814858815427,-0.1992013724970819,-0.02314923135755532
-0.0050802358815427,-0.1988579506331631,-0.02349010045769467
-0.0050789858815427,-0.1995447943610002,-0.02314923135755547
-0.0050777358815427,-0.1995447943610005,-0.02314923135755532
-0.0050764858815427,-0.199201372497082,-0.02280836225741612
-0.0050752358815427,-0.1992013724970819,-0.02349010045769467
-0.0050739858815427,-0.1992013724970819,-0.02314923135755532
-0.0050727358815427,-0.1992013724970819,-0.02314923135755532
-0.0050714858815427,-0.1992013724970819,-0.02314923135755532
-0.0050702358815427,-0.1992013724970819,-0.02280836225741597
-0.0050689858815427,-0.1995447943610005,-0.02280836225741597
-0.0050677358815427,-0.199888216224919,-0.02314923135755516
-0.0050664858815427,-0.1992013724970819,-0.02349010045769467
-0.005065235881542699,-0.1995447943610002,-0.02349010045769467
-0.0050639858815427,-0.1988579506331631,-0.02349010045769467
-0.0050627358815427,-0.1985145287692448,-0.02349010045769467
-0.0050614858815427,-0.1992013724970819,-0.02349010045769467
-0.0050602358815427,-0.1998882162249192,-0.02349010045769467
-0.0050589858815427,-0.1992013724970819,-0.02383096955783403
-0.0050577358815427,-0.1988579506331631,-0.02383096955783403
-0.0050564858815427,-0.1988579506331631,-0.02383096955783403
-0.0050552358815427,-0.1992013724970819,-0.02383096955783403
-0.0050539858815427,-0.1992013724970817,-0.02383096955783403
-0.0050527358815427,-0.1988579506331631,-0.02383096955783403
-0.0050514858815427,-0.1988579506331634,-0.02417183865797322
-0.0050502358815427,-0.1995447943610005,-0.02383096955783403
-0.0050489858815427,-0.1988579506331631,-0.02417183865797338
-0.0050477358815427,-0.1992013724970817,-0.02383096955783418
-0.0050464858815427,-0.1995447943610005,-0.02417183865797338
-0.0050452358815427,-0.199201372497082,-0.02349010045769498
-0.0050439858815427,-0.1992013724970819,-0.02417183865797338
-0.0050427358815427,-0.1988579506331633,-0.02417183865797353
-0.0050414858815427,-0.1992013724970819,-0.02451270775811273
-0.0050402358815427,-0.1995447943610005,-0.02451270775811273
-0.0050389858815427,-0.1988579506331631,-0.02451270775811273
-0.0050377358815427,-0.1988579506331631,-0.02451270775811273
-0.0050364858815427,-0.1985145287692446,-0.02417183865797353
-0.0050352358815427,-0.1992013724970819,-0.02451270775811273
-0.0050339858815427,-0.1992013724970819,-0.02485357685825193
-0.0050327358815427,-0.1995447943610005,-0.02383096955783403
-0.0050314858815427,-0.1992013724970819,-0.02383096955783418
-0.0050302358815427,-0.1992013724970819,-0.02417183865797338
-0.0050289858815427,-0.1992013724970819,-0.02417183865797338
-0.0050277358815427,-0.1995447943610005,-0.02485357685825209
-0.0050264858815427,-0.1995447943610005,-0.02485357685825209
-0.0050252358815427,-0.199888216224919,-0.02485357685825209
-0.0050239858815427,-0.1995447943610005,-0.02485357685825209
-0.005022735881542699,-0.1988579506331634,-0.02519444595839144
-0.0050214858815427,-0.1995447943610005,-0.02519444595839144
-0.0050202358815427,-0.199888216224919,-0.02485357685825239
-0.0050189858815427,-0.1995447943610005,-0.02553531505853079
-0.0050177358815427,-0.2005750599527566,-0.02553531505853079
-0.0050164858815427,-0.1995447943610005,-0.02519444595839144
-0.0050152358815427,-0.1992013724970819,-0.02519444595839144
-0.0050139858815427,-0.1992013724970819,-0.02485357685825224
-0.0050127358815427,-0.2002316380888379,-0.02519444595839144
-0.005011485881542699,-0.199888216224919,-0.02519444595839144
-0.0050102358815427,-0.1995447943610005,-0.02519444595839144
-0.0050089858815427,-0.1992013724970819,-0.02553531505853095
-0.0050077358815427,-0.1992013724970819,-0.02587618415867015
-0.0050064858815427,-0.1992013724970819,-0.02587618415867015
-0.0050052358815427,-0.1995447943610005,-0.02587618415867015
-0.0050039858815427,-0.1992013724970819,-0.02587618415867015
-0.0050027358815427,-0.1985145287692448,-0.02553531505853095
-0.0050014858815427,-0.1988579506331631,-0.02553531505853079
-0.0050002358815427,-0.05702472083462461,-0.01769532575531916
-0.0049989858815427,0.2026022082877897,-0.003378823549472818
-0.0049977358815427,0.2026022082877897,-0.003037954449333464
