Time (s),Channel 1 (V),Channel 2 (V)
-0.002580227479338843,-0.1992013724970819,-0.09541348058709825
-0.002579597479338843,-0.1988579506331633,-0.09541348058709825
-0.002578967479338843,-0.1985145287692445,-0.09507261148695889
-0.002578337479338843,-0.1981711069053257,-0.09541348058709856
-0.002577707479338843,-0.1981711069053257,-0.09609521878737695
-0.002577077479338843,-0.1985145287692445,-0.09609521878737695
-0.002576447479338843,-0.198857950633163,-0.09609521878737695
-0.002575817479338843,-0.1995447943610005,-0.09643608788751631
-0.002575187479338843,-0.1998882162249192,-0.09643608788751631
-0.002574557479338843,-0.1995447943610007,-0.0960952187873771
-0.002573927479338843,-0.1992013724970819,-0.09609521878737695
-0.002573297479338843,-0.1995447943610008,-0.0960952187873771
-0.002572667479338843,-0.2002316380888379,-0.09643608788751631
-0.002572037479338843,-0.1998882162249192,-0.09643608788751631
-0.002571407479338843,-0.1998882162249189,-0.09677695698765597
-0.002570777479338843,-0.1992013724970819,-0.09745869518793437
-0.002570147479338843,-0.1992013724970819,-0.09711782608779501
-0.002569517479338843,-0.1998882162249189,-0.09711782608779501
-0.002568887479338843,-0.1995447943610005,-0.09711782608779501
-0.002568257479338843,-0.1995447943610005,-0.09745869518793437
-0.002567627479338843,-0.1995447943610005,-0.09745869518793437
-0.002566997479338843,-0.1998882162249192,-0.09779956428807372
-0.002566367479338843,-0.1992013724970819,-0.09711782608779532
-0.002565737479338843,-0.1992013724970819,-0.09779956428807372
-0.002565107479338843,-0.1992013724970819,-0.09779956428807372
-0.002564477479338843,-0.2002316380888375,-0.09779956428807372
-0.002563847479338843,-0.2002316380888379,-0.09814043338821307
-0.002563217479338843,-0.1995447943610005,-0.09848130248835259
-0.002562587479338843,-0.1995447943610005,-0.09882217158849178
-0.002561957479338843,-0.1995447943610005,-0.09814043338821307
-0.002561327479338843,-0.199201372497082,-0.09779956428807403
-0.002560697479338843,-0.1995447943610005,-0.09848130248835243
-0.002560067479338843,-0.1998882162249192,-0.09882217158849178
-0.002559437479338843,-0.1992013724970822,-0.09882217158849178
-0.002558807479338843,-0.1992013724970819,-0.09916304068863113
-0.002558177479338843,-0.1998882162249192,-0.09882217158849178
-0.002557547479338843,-0.1995447943610005,-0.09848130248835243
-0.002556917479338843,-0.1998882162249192,-0.09882217158849178
-0.002556287479338843,-0.1988579506331633,-0.09882217158849209
-0.002555657479338843,-0.1992013724970819,-0.09950390978877049
-0.002555027479338843,-0.1988579506331631,-0.09950390978877049
-0.002554397479338843,-0.1985145287692446,-0.09916304068863128
-0.002553767479338843,-0.1988579506331631,-0.09950390978877049
-0.002553137479338843,-0.1988579506331631,-0.09950390978877049
-0.002552507479338843,-0.1988579506331631,-0.09984477888890984
-0.002551877479338843,-0.1995447943610005,-0.09984477888890984
-0.002551247479338843,-0.1995447943610007,-0.1001856479890493
-0.002550617479338843,-0.1998882162249192,-0.1005265170891886
-0.002549987479338843,-0.1992013724970819,-0.1001856479890492
-0.002549357479338843,-0.1992013724970819,-0.1001856479890492
-0.002548727479338843,-0.1992013724970819,-0.1001856479890492
-0.002548097479338843,-0.1992013724970819,-0.1008673861893279
-0.002547467479338843,-0.1995447943610004,-0.1005265170891887
-0.002546837479338843,-0.1995447943610005,-0.1008673861893279
-0.002546207479338843,-0.1995447943610008,-0.1008673861893281
-0.002545577479338843,-0.2002316380888379,-0.1012082552894673
-0.002544947479338843,-0.1998882162249192,-0.1012082552894673
-0.002544317479338843,-0.1998882162249192,-0.1012082552894673
-0.002543687479338843,-0.1995447943610005,-0.1008673861893279
-0.002543057479338843,-0.1995447943610005,-0.1008673861893279
-0.002542427479338843,-0.1988579506331634,-0.1012082552894671
-0.002541797479338843,-0.1988579506331631,-0.1012082552894673
-0.002541167479338843,-0.1988579506331631,-0.1012082552894673
-0.002540537479338843,-0.1988579506331631,-0.1012082552894673
-0.002539907479338843,-0.1998882162249192,-0.101889993489746
-0.002539277479338843,-0.1992013724970822,-0.101889993489746
-0.002538647479338843,-0.1992013724970819,-0.101889993489746
-0.002538017479338843,-0.1995447943610005,-0.101889993489746
-0.002537387479338843,-0.199201372497082,-0.1022308625898852
-0.002536757479338843,-0.1995447943610005,-0.1025717316900247
-0.002536127479338843,-0.1992013724970819,-0.1025717316900247
-0.002535497479338843,-0.1992013724970819,-0.1025717316900247
-0.002534867479338843,-0.1995447943610005,-0.1025717316900247
-0.002534237479338843,-0.199888216224919,-0.102912600790164
-0.002533607479338843,-0.1995447943610005,-0.102912600790164
-0.002532977479338843,-0.1995447943610005,-0.102912600790164
-0.002532347479338843,-0.1995447943610005,-0.1032534698903032
-0.002531717479338843,-0.1992013724970819,-0.102912600790164
-0.002531087479338843,-0.1992013724970819,-0.1025717316900248
-0.002530457479338843,-0.1992013724970819,-0.102912600790164
-0.002529827479338843,-0.1995447943610005,-0.1032534698903034
-0.002529197479338843,-0.1998882162249192,-0.1032534698903034
-0.002528567479338843,-0.1998882162249192,-0.1032534698903034
-0.002527937479338843,-0.1995447943610005,-0.1032534698903034
-0.002527307479338843,-0.1995447943610005,-0.1039352080905818
-0.002526677479338843,-0.1988579506331631,-0.1032534698903034
-0.002526047479338843,-0.1988579506331631,-0.102912600790164
-0.002525417479338843,-0.1992013724970819,-0.1032534698903034
-0.002524787479338843,-0.1985145287692445,-0.1032534698903034
-0.002524157479338843,-0.1988579506331633,-0.103594338990443
