Time (s),Channel 1 (V),Channel 2 (V)
-0.00102381269254467,-0.4732520199041994,-0.5000251024525109
-0.00102356269254467,-0.4739388636320372,-0.4996842333523719
-0.00102331269254467,-0.4749691292237924,-0.500706840652789
-0.00102306269254467,-0.4742822854959557,-0.5007068406527895
-0.00102281269254467,-0.473595441768118,-0.4996842333523714
-0.00102256269254467,-0.4732520199041994,-0.4993433642522321
-0.00102231269254467,-0.473595441768118,-0.5003659715526502
-0.00102206269254467,-0.4735954417681182,-0.5000251024525112
-0.00102181269254467,-0.4739388636320369,-0.5007068406527894
-0.00102156269254467,-0.4742822854959552,-0.5003659715526503
-0.00102131269254467,-0.4742822854959554,-0.5007068406527895
-0.00102106269254467,-0.4746257073598741,-0.5007068406527895
-0.00102081269254467,-0.4739388636320367,-0.5000251024525109
-0.00102056269254467,-0.473595441768118,-0.4996842333523714
-0.00102031269254467,-0.473595441768118,-0.500025102452511
-0.00102006269254467,-0.473595441768118,-0.5003659715526501
-0.00101981269254467,-0.473595441768118,-0.4993433642522325
-0.00101956269254467,-0.4739388636320367,-0.4993433642522321
-0.00101931269254467,-0.473595441768118,-0.5000251024525109
-0.00101906269254467,-0.4746257073598741,-0.5003659715526502
-0.00101881269254467,-0.4742822854959554,-0.5000251024525105
-0.00101856269254467,-0.4742822854959557,-0.4993433642522327
-0.00101831269254467,-0.4749691292237925,-0.5007068406527888
-0.00101806269254467,-0.4749691292237928,-0.5010477097529288
-0.00101781269254467,-0.4753125510877115,-0.5013885788530682
-0.00101756269254467,-0.4749691292237928,-0.5003659715526502
-0.00101731269254467,-0.4746257073598741,-0.5000251024525109
-0.00101706269254467,-0.4749691292237928,-0.4996842333523718
-0.00101681269254467,-0.4749691292237926,-0.5003659715526498
-0.00101656269254467,-0.4746257073598743,-0.4996842333523718
-0.00101631269254467,-0.4739388636320367,-0.4996842333523714
-0.00101606269254467,-0.4746257073598741,-0.4996842333523714
-0.00101581269254467,-0.4746257073598741,-0.5000251024525109
-0.00101556269254467,-0.4746257073598741,-0.4996842333523714
-0.00101531269254467,-0.4746257073598738,-0.4996842333523716
-0.00101506269254467,-0.4739388636320371,-0.5000251024525108
-0.00101481269254467,-0.4742822854959552,-0.4993433642522324
-0.00101456269254467,-0.4746257073598741,-0.4996842333523714
-0.00101431269254467,-0.4739388636320367,-0.4996842333523714
-0.00101406269254467,-0.4742822854959554,-0.4996842333523714
-0.00101381269254467,-0.4746257073598737,-0.5000251024525108
-0.00101356269254467,-0.4735954417681184,-0.4996842333523718
-0.00101331269254467,-0.4742822854959551,-0.5003659715526498
-0.00101306269254467,-0.4742822854959554,-0.5000251024525109
-0.00101281269254467,-0.4742822854959554,-0.4996842333523714
-0.00101256269254467,-0.4749691292237928,-0.5003659715526502
-0.00101231269254467,-0.4742822854959554,-0.4996842333523714
-0.00101206269254467,-0.4739388636320369,-0.5000251024525109
-0.00101181269254467,-0.4742822854959552,-0.5000251024525109
-0.00101156269254467,-0.4742822854959554,-0.4996842333523716
-0.00101131269254467,-0.4746257073598741,-0.5000251024525109
-0.00101106269254467,-0.4749691292237928,-0.4996842333523714
-0.00101081269254467,-0.4742822854959554,-0.5000251024525109
-0.00101056269254467,-0.4739388636320367,-0.4996842333523714
-0.00101031269254467,-0.4739388636320366,-0.4996842333523711
-0.00101006269254467,-0.4735954417681182,-0.4990024951520931
-0.00100981269254467,-0.4749691292237928,-0.5000251024525109
-0.00100956269254467,-0.4749691292237928,-0.5000251024525109
-0.00100931269254467,-0.4749691292237928,-0.5000251024525109
-0.00100906269254467,-0.4742822854959554,-0.4993433642522321
-0.00100881269254467,-0.4746257073598741,-0.4986616260519532
-0.00100856269254467,-0.4746257073598741,-0.4983207569518142
-0.00100831269254467,-0.4742822854959556,-0.4990024951520924
-0.00100806269254467,-0.4742822854959554,-0.4996842333523714
-0.00100781269254467,-0.4749691292237928,-0.5000251024525109
-0.00100756269254467,-0.4753125510877115,-0.5003659715526502
-0.00100731269254467,-0.4756559729516298,-0.5003659715526498
-0.00100706269254467,-0.4746257073598741,-0.4996842333523713
-0.00100681269254467,-0.4746257073598741,-0.4993433642522322
-0.00100656269254467,-0.4746257073598741,-0.4996842333523714
-0.00100631269254467,-0.4746257073598741,-0.4996842333523714
-0.00100606269254467,-0.4739388636320367,-0.4990024951520927
-0.00100581269254467,-0.4739388636320367,-0.4996842333523714
-0.00100556269254467,-0.4742822854959556,-0.4996842333523714
-0.00100531269254467,-0.474625707359874,-0.4996842333523714
-0.00100506269254467,-0.4756559729516298,-0.5003659715526498
-0.00100481269254467,-0.4742822854959554,-0.5000251024525109
-0.00100456269254467,-0.4753125510877115,-0.4996842333523714
-0.00100431269254467,-0.4749691292237928,-0.4993433642522321
-0.00100406269254467,-0.47565597295163,-0.4996842333523714
-0.00100381269254467,-0.4753125510877115,-0.4996842333523713
-0.00100356269254467,-0.4753125510877115,-0.4993433642522322
-0.00100331269254467,-0.4753125510877115,-0.5000251024525109
-0.00100306269254467,-0.4763428166794676,-0.5007068406527895
-0.00100281269254467,-0.4756559729516302,-0.4996842333523714
-0.00100256269254467,-0.4756559729516302,-0.5000251024525109
-0.00100231269254467,-0.4756559729516302,-0.5000251024525108
-0.00100206269254467,-0.4756559729516302,-0.4996842333523716
-0.00100181269254467,-0.4749691292237931,-0.4993433642522322
-0.00100156269254467,-0.4746257073598741,-0.4990024951520927
-0.00100131269254467,-0.4749691292237928,-0.4993433642522321
-0.00100106269254467,-0.4753125510877115,-0.5003659715526502
-0.00100081269254467,-0.474969129223793,-0.4996842333523713
-0.00100056269254467,-0.4753125510877117,-0.4993433642522321
-0.00100031269254467,-0.47565597295163,-0.4993433642522321
-0.00100006269254467,-0.1394459681752291,0.0624089127774224
-0.0009998126925446704,0.4189579825565667,0.500766575556631
-0.0009995626925446703,0.4471185753978996,0.5045161356581639
-0.0009993126925446703,0.4519264814927613,0.5072430884592787
-0.0009990626925446703,0.4543304345401925,0.5082656957596967
-0.0009988126925446704,0.4550172782680292,0.5082656957596967
-0.0009985626925446704,0.4560475438597852,0.5082656957596967
-0.0009983126925446704,0.456734387587623,0.5072430884592787
-0.0009980626925446703,0.456734387587623,0.5069022193591393
-0.0009978126925446703,0.4563909657237044,0.5058796120587212
-0.0009975626925446703,0.4563909657237044,0.5055387429585819
-0.0009973126925446702,0.4563909657237045,0.5055387429585818
-0.0009970626925446704,0.4567343875876229,0.5051978738584426
-0.0009968126925446704,0.456734387587623,0.5041752665580245
-0.0009965626925446704,0.4553607001319482,0.5034935283577457
-0.0009963126925446703,0.4550172782680296,0.5024709210573277
-0.0009960626925446703,0.455704121995867,0.501789182857049
-0.0009958126925446703,0.4557041219958668,0.5024709210573274
-0.0009955626925446704,0.4553607001319484,0.5017891828570493
-0.0009953126925446704,0.4550172782680297,0.5011074446567706
-0.0009950626925446704,0.4550172782680296,0.5011074446567703
-0.0009948126925446703,0.4553607001319482,0.5011074446567703
-0.0009945626925446703,0.4553607001319482,0.5004257064564916
-0.0009943126925446703,0.4560475438597855,0.5014483137569097
-0.0009940626925446702,0.455704121995867,0.5014483137569092
-0.0009938126925446704,0.455704121995867,0.5004257064564921
-0.0009935626925446704,0.456390965723704,0.5007665755566308
-0.0009933126925446704,0.4563909657237044,0.500766575556631
-0.0009930626925446703,0.456734387587623,0.500766575556631
-0.0009928126925446703,0.4570778094515417,0.5000848373563522
-0.0009925626925446703,0.4570778094515423,0.5000848373563527
-0.0009923126925446702,0.4584514969072161,0.5011074446567699
-0.0009920626925446704,0.4577646531793794,0.500425706456492
-0.0009918126925446704,0.4577646531793791,0.5004257064564916
-0.0009915626925446704,0.4577646531793791,0.4997439682562129
-0.0009913126925446703,0.4577646531793791,0.5000848373563522
-0.0009910626925446703,0.4574212313154604,0.4994030991560736
-0.0009908126925446703,0.4574212313154603,0.4997439682562126
-0.0009905626925446704,0.4570778094515419,0.4990622300559345
-0.0009903126925446704,0.4577646531793788,0.4994030991560734
-0.0009900626925446704,0.4581080750432978,0.4990622300559342
-0.0009898126925446703,0.4584514969072165,0.5000848373563522
-0.0009895626925446703,0.4581080750432978,0.4990622300559342
-0.0009893126925446703,0.4591383406350537,0.4994030991560736
-0.0009890626925446702,0.4587949187711354,0.4994030991560736
-0.0009888126925446704,0.4591383406350537,0.4994030991560736
-0.0009885626925446704,0.4587949187711352,0.4997439682562129
-0.0009883126925446704,0.4587949187711352,0.4997439682562129
-0.0009880626925446703,0.4587949187711352,0.4994030991560736
-0.0009878126925446703,0.4587949187711352,0.4990622300559342
-0.0009875626925446703,0.4591383406350539,0.4990622300559342
-0.0009873126925446704,0.4591383406350539,0.4990622300559342
-0.0009870626925446704,0.4594817624989724,0.4983804918556558
-0.0009868126925446704,0.4591383406350539,0.4994030991560736
-0.0009865626925446703,0.4598251843628913,0.4990622300559342
-0.0009863126925446703,0.4605120280907287,0.4997439682562129
-0.0009860626925446703,0.4605120280907287,0.499062230055934
-0.0009858126925446702,0.4605120280907287,0.498721360955795
-0.0009855626925446704,0.4605120280907287,0.499062230055934
-0.0009853126925446704,0.4605120280907287,0.4994030991560736
-0.0009850626925446704,0.4605120280907287,0.4983804918556555
-0.0009848126925446703,0.4601686062268099,0.4990622300559342
