Time (s),Channel 1 (V),Channel 2 (V)
-0.005119570578231293,-0.1985145287692445,-0.08109697838124541
-0.005118320578231293,-0.2002316380888379,-0.08109697838124541
-0.005117070578231292,-0.1998882162249192,-0.08109697838124541
-0.005115820578231293,-0.1998882162249192,-0.08109697838124541
-0.005114570578231292,-0.1988579506331631,-0.08109697838124541
-0.005113320578231293,-0.1995447943610005,-0.08109697838124541
-0.005112070578231293,-0.1995447943610005,-0.08075610928110605
-0.005110820578231293,-0.2002316380888376,-0.08143784748138445
-0.005109570578231293,-0.1995447943610005,-0.08177871658152411
-0.005108320578231292,-0.1995447943610004,-0.08177871658152396
-0.005107070578231293,-0.1992013724970819,-0.08143784748138476
-0.005105820578231292,-0.199201372497082,-0.08177871658152396
-0.005104570578231293,-0.1995447943610005,-0.08143784748138476
-0.005103320578231292,-0.1998882162249192,-0.08177871658152411
-0.005102070578231293,-0.1995447943610005,-0.08177871658152411
-0.005100820578231293,-0.1992013724970819,-0.08177871658152411
-0.005099570578231293,-0.1995447943610004,-0.08177871658152411
-0.005098320578231293,-0.1992013724970819,-0.08246045478180282
-0.005097070578231292,-0.1995447943610001,-0.08211958568166362
-0.005095820578231293,-0.1985145287692445,-0.08246045478180282
-0.005094570578231292,-0.199201372497082,-0.08211958568166347
-0.005093320578231293,-0.1995447943610005,-0.08211958568166347
-0.005092070578231292,-0.1995447943610005,-0.08280132388194217
-0.005090820578231293,-0.199201372497082,-0.08211958568166378
-0.005089570578231293,-0.1988579506331631,-0.08280132388194217
-0.005088320578231293,-0.1988579506331631,-0.08280132388194217
-0.005087070578231293,-0.1992013724970819,-0.08246045478180282
-0.005085820578231292,-0.1988579506331631,-0.08280132388194186
-0.005084570578231293,-0.1988579506331631,-0.08211958568166347
-0.005083320578231292,-0.1988579506331631,-0.08246045478180282
-0.005082070578231293,-0.1992013724970819,-0.08246045478180282
-0.005080820578231292,-0.1992013724970819,-0.08280132388194217
-0.005079570578231293,-0.1988579506331633,-0.08280132388194217
-0.005078320578231293,-0.1995447943610005,-0.08314219298208153
-0.005077070578231293,-0.199201372497082,-0.08314219298208153
-0.005075820578231293,-0.1995447943610005,-0.08314219298208153
-0.005074570578231292,-0.1988579506331631,-0.08314219298208153
-0.005073320578231293,-0.1988579506331631,-0.08314219298208153
-0.005072070578231292,-0.1988579506331631,-0.08348306208222088
-0.005070820578231293,-0.1992013724970819,-0.08348306208222088
-0.005069570578231293,-0.1985145287692445,-0.08348306208222088
-0.005068320578231293,-0.1981711069053259,-0.08314219298208168
-0.005067070578231293,-0.1988579506331631,-0.08314219298208153
-0.005065820578231292,-0.1992013724970817,-0.08314219298208168
-0.005064570578231293,-0.1988579506331631,-0.08348306208222088
-0.005063320578231292,-0.1985145287692448,-0.08382393118236023
-0.005062070578231293,-0.1992013724970819,-0.08382393118236023
-0.005060820578231292,-0.1995447943610005,-0.08348306208222088
-0.005059570578231293,-0.1995447943610005,-0.08382393118236023
-0.005058320578231293,-0.1985145287692445,-0.08348306208222088
-0.005057070578231293,-0.198857950633163,-0.08416480028249929
-0.005055820578231293,-0.1992013724970819,-0.08450566938263894
-0.005054570578231292,-0.1988579506331633,-0.08450566938263909
-0.005053320578231293,-0.1992013724970819,-0.08484653848277829
-0.005052070578231292,-0.1992013724970819,-0.08484653848277814
-0.005050820578231293,-0.1992013724970819,-0.08450566938263894
-0.005049570578231292,-0.1995447943610005,-0.08450566938263894
-0.005048320578231293,-0.199201372497082,-0.08484653848277814
